id;phone_number;description;address;student_code;wallet_id;user_id
1;Solutions;grey;payment Chair Shoes;Sleek black;87206;49902
2;eyeballs Croatian;orange Unbranded Ball;back;Gloves;76424;16764
3;static;calculating niches;proactive reboot gold;User-centric;631;33438
4;Borders;local connect;invoice;Security;51871;29724
5;Refined;primary Cambridgeshire;Berkshire;Unbranded;31748;22502
6;Slovakia;Manager bandwidth;Computers;Moldova;67437;1832
7;generate;Shoes Account;Greens;mobile transparent;93936;97779
8;Parkways;multi-tasking;GB;Assimilated Checking;43058;10365
9;Inlet;payment Kazakhstan;didactic black;black;16788;53164
10;tolerance process;Metal sensor connecting;EXE deposit;Avon Plastic;26645;17513
